"id","plazas_total","plazas_concertadas","lugar","porc_concertadas"
"1",249871,81820,"Media nacional",32.7448963665251
"2",30649,12618,"Andalucía",41.1693693105811
"3",10372,2374,"Aragón",22.8885460856151
"4",8965,1660,"Asturias (Principado de)",18.5164528722811
"5",2353,1003,"Balears (Illes)",42.6264343391415
"6",2644,529,"Canarias",20.0075642965204
"7",5156,3590,"Cantabria",69.6276183087665
"8",16243,4698,"Castilla-La Mancha",28.9232284676476
"9",31565,2619,"Castilla y León",8.29716458102329
"10",45315,19468,"Cataluña",42.9614917797639
"11",42,42,"Ceuta",100
"12",19408,6647,"Comunitat Valenciana",34.2487633965375
"13",5973,1257,"Extremadura",21.0447011551984
"14",14217,3127,"Galicia",21.9947949637758
"15",34775,10827,"Madrid (Comunidad de)",31.1344356578001
"16",111,100,"Melilla",90.0900900900901
"17",4060,2441,"Murcia (Región de)",60.1231527093596
"18",3891,1471,"Navarra (Comunidad Foral de)",37.8051914674891
"19",12016,6728,"País Vasco",55.9920106524634
"20",2116,621,"Rioja (La)",29.3478260869565
